batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average
Saqib Ali,United Arab Emirates,2,2,2,0,29,53,2,0,0,0,19,54.72,14.5
Saqib Zulfiqar,Netherlands,11,11,9,2,158,233,12,4,0,0,34,67.81,17.56
Saqlain Haider,United Arab Emirates,3,3,3,0,30,40,4,0,0,0,12,75.0,10.0
Saqlain Mushtaq,Pakistan,4,4,1,3,17,39,2,0,0,0,12,43.59,17.0
Sarfraz Ahmed,Pakistan,89,89,67,22,2289,2673,174,12,11,2,105,85.63,34.16
Saud Shakeel,Pakistan,14,14,13,1,374,455,40,1,4,0,68,82.2,28.77
Shabbir Ahmed,Pakistan,6,6,3,3,6,15,0,0,0,0,2,40.0,2.0
Shadab Khan,Pakistan,39,39,28,11,714,866,43,17,4,0,86,82.45,25.5
Shafali Verma,India,32,32,31,1,745,918,91,9,5,0,87,81.15,24.03
Shafiul Islam,Bangladesh,33,33,22,11,132,242,13,2,0,0,24,54.55,6.0
Shahadat Hossain,Bangladesh,18,18,7,11,60,119,5,1,0,0,16,50.42,8.57
Shahbaz Ahmed,India,1,1,1,0,0,4,0,0,0,0,0,0.0,0.0
Shaheen Shah Afridi,Pakistan,35,35,20,15,270,313,24,11,0,0,25,86.26,13.5
Shahid Afridi,Pakistan,185,185,168,17,3913,2987,341,177,15,3,124,131.0,23.29
Shahid Ahmadzai,Canada,6,6,4,2,38,66,3,0,0,0,13,57.58,9.5
Shahid Wasif,Hong Kong,6,6,6,0,60,138,5,2,0,0,45,43.48,10.0
Shahnawaz Dhani,Pakistan,1,1,0,0,4,3,0,0,0,0,4,133.33,inf
Shahriar Hossain,Bangladesh,1,1,1,0,0,3,0,0,0,0,0,0.0,0.0
Shahriar Nafees,Bangladesh,52,52,50,2,1216,1817,163,2,5,2,123,66.92,24.32
Shahzaib Hasan,Pakistan,3,3,3,0,100,118,13,2,1,0,50,84.75,33.33
Shaila Sharmin,Bangladesh,7,7,5,2,59,98,8,0,0,0,21,60.2,11.8
Shaiman Anwar,United Arab Emirates,30,30,30,0,947,1162,95,16,8,1,106,81.5,31.57
Shakeel Ahmed,Oman,10,10,6,4,99,181,5,4,0,0,29,54.7,16.5
Shakib Al Hasan,Bangladesh,200,200,175,25,6638,8133,620,51,52,8,124,81.62,37.93
Shamim Hossain,Bangladesh,5,5,5,0,56,80,3,2,0,0,22,70.0,11.2
Shamima Sultana,Bangladesh,14,14,14,0,304,540,35,1,2,0,53,56.3,21.71
Shamsur Rahman,Bangladesh,9,9,9,0,266,357,23,9,2,0,96,74.51,29.56
Shamyl Hussain,Pakistan,1,1,1,0,4,7,0,0,0,0,4,57.14,4.0
Shan Masood,Pakistan,9,9,9,0,163,242,19,0,1,0,50,67.36,18.11
Shariz Ahmad,Netherlands,17,17,15,2,159,291,11,0,0,0,30,54.64,10.6
Sharjeel Khan,Pakistan,24,24,24,0,787,692,102,27,6,1,152,113.73,32.79
Sharmin Akhter,Bangladesh,36,36,34,2,1121,1909,137,1,8,0,96,58.72,32.97
Sharmin Sultana,Bangladesh,11,11,11,0,67,198,6,0,0,0,22,33.84,6.09
Shathira Jakir,Bangladesh,1,1,1,0,0,2,0,0,0,0,0,0.0,0.0
Shawaal Zulfiqar,Pakistan,4,4,4,0,15,49,2,0,0,0,7,30.61,3.75
Shayan Jahangir,United States of America,27,27,23,4,691,774,74,10,3,1,100,89.28,30.04
Shivam Sharma,Canada,6,6,5,1,118,164,8,2,0,0,37,71.95,23.6
Shoaib Akhtar,Pakistan,39,39,25,14,217,249,14,10,0,0,43,87.15,8.68
Shoaib Khan,Oman,35,35,31,4,899,1118,86,15,7,1,105,80.41,29.0
Shoaib Malik,Pakistan,206,206,176,30,5981,7309,475,93,37,5,128,81.83,33.98
Shoriful Islam,Bangladesh,19,19,11,8,91,106,7,4,0,0,16,85.85,8.27
Shorna Akter,Bangladesh,21,22,16,6,245,377,17,5,1,0,51,64.99,15.31
Shubham Ranjane,United States of America,3,3,2,1,84,116,6,1,0,0,46,72.41,42.0
Shubman Gill,India,61,61,53,8,2953,3065,335,63,17,8,208,96.35,55.72
Shuvagata Hom,Bangladesh,3,3,2,1,70,88,9,0,0,0,35,79.55,35.0
Sidra Ameen,Pakistan,69,69,63,6,2369,3648,244,2,13,6,176,64.94,37.6
Sidra Nawaz,Pakistan,53,53,42,11,441,853,38,0,0,0,47,51.7,10.5
Sikandar Raza,Zimbabwe,117,118,98,20,3662,4236,307,85,20,6,135,86.45,37.37
Simandeep Singh,Hong Kong,1,1,1,0,0,7,0,0,0,0,0,0.0,0.0
Simi Singh,Ireland,18,18,15,3,406,517,34,6,1,1,100,78.53,27.07
Skhawat Ali,Hong Kong,3,3,3,0,18,60,2,0,0,0,10,30.0,6.0
