batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average
Towhid Hridoy,Bangladesh,30,30,28,2,1060,1347,65,23,9,1,100,78.69,37.86
Tuba Hassan,Pakistan,4,4,3,1,49,59,6,0,0,0,25,83.05,16.33
Tushar Imran,Bangladesh,21,21,21,0,250,477,27,1,0,0,48,52.41,11.9
U Bhagwan,Canada,2,2,1,1,26,28,2,1,0,0,20,92.86,26.0
U Bhatti,Canada,8,8,6,2,120,131,10,3,0,0,22,91.6,20.0
U Raymond-Hoey,Ireland,8,8,7,1,74,124,5,0,0,0,22,59.68,10.57
U Thimashini,Sri Lanka,1,1,1,0,2,6,0,0,0,0,2,33.33,2.0
UCKA Dona,United Arab Emirates,4,4,4,0,88,186,8,0,1,0,56,47.31,22.0
UDU Chandana,Sri Lanka,20,20,16,4,261,397,19,2,1,0,51,65.74,16.31
UT Khawaja,Australia,38,38,36,2,1539,1865,149,13,12,2,104,82.52,42.75
UT Yadav,India,21,21,10,11,79,136,8,1,0,0,18,58.09,7.9
UWMBCA Welegedara,Sri Lanka,3,3,1,2,4,9,0,0,0,0,2,44.44,4.0
Umaima Sohail,Pakistan,40,40,34,6,766,1213,82,0,3,0,65,63.15,22.53
Umair Ali,United Arab Emirates,1,1,1,0,10,11,0,1,0,0,10,90.91,10.0
Umar Akmal,Pakistan,108,108,93,15,3032,3626,257,48,19,1,102,83.62,32.6
Umar Amin,Pakistan,16,16,15,1,271,408,28,2,1,0,59,66.42,18.07
Umar Gul,Pakistan,62,62,46,16,442,648,35,13,0,0,39,68.21,9.61
Umm-e-Hani,Pakistan,12,12,12,0,44,98,2,0,0,0,11,44.9,3.67
Umran Malik,India,3,3,1,2,2,11,0,0,0,0,2,18.18,2.0
Urooj Mumtaz,Pakistan,3,3,3,0,35,99,3,0,0,0,26,35.35,11.67
Usama Mir,Pakistan,4,4,4,0,38,30,2,3,0,0,20,126.67,9.5
Usman Khan,Pakistan,1,1,1,0,39,33,4,2,0,0,39,118.18,39.0
Usman Khan (2),Pakistan,1,1,1,0,12,18,1,0,0,0,12,66.67,12.0
Usman Limbada,Canada,4,4,4,0,123,193,12,1,1,0,50,63.73,30.75
Usman Rafiq,United States of America,2,2,1,1,28,42,4,0,0,0,28,66.67,28.0
Usman Salahuddin,Pakistan,2,2,2,0,13,28,0,0,0,0,8,46.43,6.5
Usman Shinwari,Pakistan,4,4,3,1,6,7,0,1,0,0,6,85.71,2.0
Utkarsh Srivastava,United States of America,2,2,2,0,75,75,6,1,1,0,67,100.0,37.5
V Araa,Papua New Guinea,7,7,6,1,71,179,4,0,0,0,21,39.66,11.83
V Aravind,United Arab Emirates,63,63,60,3,1865,2785,180,16,9,2,115,66.97,31.08
V Buruka,Papua New Guinea,4,4,1,3,0,8,0,0,0,0,0,0.0,0.0
V Kohli,India,296,296,251,45,14675,15958,1366,170,75,54,183,91.96,58.47
V Krishnamurthy,India,22,22,19,3,410,475,49,4,3,0,70,86.32,21.58
V Permaul,West Indies,4,4,3,1,19,28,1,0,0,0,10,67.86,6.33
V Sehwag,India,165,165,163,2,5763,5649,769,107,27,10,219,102.02,35.36
V Shankar,India,7,7,6,1,194,210,18,4,0,0,46,92.38,32.33
V Shetty,United Arab Emirates,1,1,1,0,7,17,0,0,0,0,7,41.18,7.0
V Shukla,Oman,7,7,6,1,144,172,6,7,0,0,46,83.72,24.0
V Sibanda,Zimbabwe,97,97,95,2,2125,3467,235,25,14,1,103,61.29,22.37
V Sukumaran,United Arab Emirates,10,10,10,0,194,314,16,6,1,0,97,61.78,19.4
VAB Tewarie,Netherlands,1,1,1,0,4,22,0,0,0,0,4,18.18,4.0
VB van Jaarsveld,South Africa,2,2,2,0,9,16,0,0,0,0,5,56.25,4.5
VC Drakes,West Indies,9,9,7,2,58,124,3,0,0,0,25,46.77,8.29
VCE Wattenberg,Netherlands,2,2,2,0,0,3,0,0,0,0,0,0.0,0.0
VD Philander,South Africa,18,18,12,6,151,219,14,0,0,0,30,68.95,12.58
VJ Kingma,Netherlands,10,10,7,3,15,48,0,1,0,0,9,31.25,2.14
VM Nyauchi,Zimbabwe,5,5,6,-1,43,53,5,1,0,0,26,81.13,7.17
VR Aaron,India,3,3,1,2,8,15,1,0,0,0,6,53.33,8.0
VR Iyer,India,2,2,2,0,24,41,0,1,0,0,22,58.54,12.0
VR Vanitha,India,2,2,2,0,50,64,8,0,0,0,27,78.12,25.0
VRV Singh,India,1,1,1,0,8,13,1,0,0,0,8,61.54,8.0
VS Solanki,England,33,33,30,3,829,1194,105,4,5,1,106,69.43,27.63
VV Morea,Papua New Guinea,8,8,8,0,142,228,13,1,1,0,52,62.28,17.75
VVS Laxman,India,27,27,24,3,828,1142,80,1,1,4,107,72.5,34.5
Vaishnave Mahesh,United Arab Emirates,6,6,5,1,75,143,4,0,0,0,22,52.45,15.0
Vaishnavi Sharma,India,1,1,0,0,10,5,2,0,0,0,10,200.0,inf
Vikramjit Singh,Netherlands,45,45,44,1,1304,1872,143,16,8,1,110,69.66,29.64
W Barresi,Netherlands,37,37,34,3,882,1184,97,12,3,1,137,74.49,25.94
W Jaffer,India,2,2,2,0,10,23,2,0,0,0,10,43.48,5.0
W Madhevere,Zimbabwe,34,34,34,0,751,973,70,5,6,0,72,77.18,22.09
W Mwayenga,Zimbabwe,2,2,2,0,1,11,0,0,0,0,1,9.09,0.5
W O'Rourke,New Zealand,4,4,2,2,6,17,0,0,0,0,3,35.29,3.0
W Sutherland,Australia,1,1,1,0,18,33,0,0,0,0,18,54.55,18.0
WA Agar,Australia,2,2,2,0,50,43,4,2,0,0,41,116.28,25.0
WA Young,New Zealand,54,54,49,5,1769,2108,198,25,10,4,120,83.92,36.1
WB Rankin,Ireland,20,20,7,13,78,183,3,1,0,0,18,42.62,11.14
WCA Ganegama,Sri Lanka,1,1,1,0,7,8,1,0,0,0,7,87.5,7.0
WD Balaji Rao,Canada,5,5,5,0,22,43,2,0,0,0,9,51.16,4.4
WD Parnell,South Africa,42,42,28,14,574,743,43,9,1,0,56,77.25,20.5
WF Stelling,Netherlands,2,2,0,0,40,39,2,2,0,0,39,102.56,inf
WG Jacks,England,21,21,19,2,629,619,56,20,4,0,94,101.62,33.11
WGAKK Kulasuriya,Sri Lanka,21,21,17,4,99,226,13,0,0,0,17,43.81,5.82
WIA Fernando,Sri Lanka,47,47,47,0,1405,1657,147,23,7,4,127,84.79,29.89
WK Dilhari,Sri Lanka,36,36,30,6,779,1012,65,6,3,0,84,76.98,25.97
WK McCallan,Ireland,13,13,11,2,101,176,9,0,0,0,25,57.39,9.18
WP Masakadza,Zimbabwe,22,22,18,4,239,382,21,2,0,0,40,62.57,13.28
WP Myburgh,Namibia,1,1,1,0,0,4,0,0,0,0,0,0.0,0.0
WP Saha,India,5,5,3,2,41,59,5,0,0,0,16,69.49,13.67
WPUJC Vaas,Sri Lanka,70,70,51,19,579,860,44,3,0,0,37,67.33,11.35
WS Jayantha,Sri Lanka,9,9,9,0,206,322,24,1,1,0,51,63.98,22.89
WT Gavera,Papua New Guinea,1,1,0,0,4,6,1,0,0,0,4,66.67,inf
WTS Porterfield,Ireland,89,89,89,0,2670,3962,274,27,15,6,139,67.39,30.0
WU Tharanga,Sri Lanka,206,206,189,17,6482,8845,742,52,36,14,174,73.28,34.3
WW Hinds,West Indies,38,38,33,5,1066,1626,90,21,3,4,127,65.56,32.3
Wahab Riaz,Pakistan,65,65,51,14,725,863,54,29,3,0,54,84.01,14.22
Waheed Ahmed,United Arab Emirates,6,6,5,1,73,131,8,2,0,0,23,55.73,14.6
Waqar Younis,Pakistan,4,4,4,0,17,25,1,0,0,0,8,68.0,4.25
Waqas Barkat,Hong Kong,4,4,3,1,25,54,2,0,0,0,14,46.3,8.33
Waqas Khan,Hong Kong,4,4,3,1,52,106,3,0,0,0,35,49.06,17.33
Waseem Muhammad,United Arab Emirates,65,65,65,0,1698,1979,141,81,9,1,119,85.8,26.12
Washington Sundar,India,20,20,18,2,372,459,25,11,1,0,51,81.05,20.67
Wasim Akram,Pakistan,5,5,3,2,71,72,10,1,0,0,33,98.61,23.67
Wasim Ali,Oman,6,6,4,2,54,95,6,2,0,0,24,56.84,13.5
XC Bartlett,Australia,2,2,2,0,11,15,0,1,0,0,8,73.33,5.5
XJ Doherty,Australia,22,22,7,15,101,188,5,1,0,0,15,53.72,14.43
XM Marshall,United States of America,26,26,25,1,379,677,41,4,1,0,50,55.98,15.16
Y Cariah,West Indies,7,7,6,1,93,167,6,1,1,0,52,55.69,15.5
Y Fourie,South Africa,3,3,2,1,1,8,0,0,0,0,1,12.5,0.5
Y Punja,United Arab Emirates,1,1,1,0,1,7,0,0,0,0,1,14.29,1.0
Y Venugopal Rao,India,8,8,7,1,161,257,12,2,1,0,61,62.65,23.0
Y van der Westhuizen,South Africa,2,2,2,0,23,39,2,0,0,0,20,58.97,11.5
YBK Jaiswal,India,4,4,3,1,171,208,19,4,0,1,116,82.21,57.0
YH Bhatia,India,27,27,27,0,666,953,78,2,4,0,64,69.88,24.67
YK Pathan,India,41,41,30,11,810,736,62,43,3,2,123,110.05,27.0
YS Chahal,India,14,14,9,5,77,144,8,0,0,0,18,53.47,8.56
YS Samra,Canada,6,6,7,-1,172,262,19,5,1,0,53,65.65,24.57
Yasir Ali Chowdhury,Bangladesh,5,5,5,0,101,106,8,4,1,0,50,95.28,20.2
Yasir Arafat,Pakistan,5,5,3,2,64,103,7,1,0,0,27,62.14,21.33
Yasir Hameed,Pakistan,39,39,39,0,1459,2225,159,4,10,2,116,65.57,37.41
Yasir Mohammad,United States of America,2,2,2,0,5,20,0,0,0,0,3,25.0,2.5
Yasir Shah,Pakistan,12,12,7,5,127,153,9,1,0,0,32,83.01,18.14
Younis Khan,Pakistan,168,168,159,9,4777,6411,388,36,32,5,123,74.51,30.04
Yousuf Youhana,Pakistan,53,53,45,8,1740,2208,126,20,15,2,107,78.8,38.67
Yuvraj Singh,India,209,209,176,33,6932,8102,729,133,42,12,150,85.56,39.39
Z Crawley,England,9,9,8,1,205,219,24,2,2,0,58,93.61,25.62
Z Groenewald,Namibia,2,2,1,1,4,19,0,0,0,0,3,21.05,4.0
Z James,West Indies,23,23,22,1,228,515,22,1,0,0,45,44.27,10.36
Z Khan,India,59,59,43,16,531,758,47,16,0,0,34,70.05,12.35
Z Mali,South Africa,2,2,1,1,2,7,0,0,0,0,2,28.57,2.0
ZB Lion-Cachet,Netherlands,10,10,10,0,200,284,16,1,1,0,78,70.42,20.0
ZE Green,Namibia,40,40,37,3,851,1174,90,9,3,0,75,72.49,23.0
ZE Surkari,Canada,8,8,7,1,127,299,7,0,0,0,34,42.47,18.14
ZGF Foulkes,New Zealand,5,5,2,3,49,59,6,0,0,0,22,83.05,24.5
Zafar Gohar,Pakistan,1,1,1,0,15,15,0,1,0,0,15,100.0,15.0
Zaheer Maqsood,United Arab Emirates,1,1,0,0,5,10,1,0,0,0,5,50.0,inf
Zahid Ali,United Arab Emirates,3,3,1,2,16,25,1,0,0,0,11,64.0,16.0
Zahid Hussain,Canada,2,2,1,1,9,31,1,0,0,0,7,29.03,9.0
Zahid Mahmood,Pakistan,2,2,1,1,9,12,0,1,0,0,9,75.0,9.0
Zahid Shah,United Arab Emirates,2,2,0,0,11,20,2,0,0,0,6,55.0,inf
Zahoor Khan,United Arab Emirates,38,38,22,16,143,259,10,4,0,0,23,55.21,6.5
Zain Abbas,Hong Kong,1,1,1,0,26,55,2,0,0,0,26,47.27,26.0
Zakir Hasan,Bangladesh,1,1,1,0,1,5,0,0,0,0,1,20.0,1.0
Zawar Farid,United Arab Emirates,8,8,7,1,132,145,15,4,0,0,32,91.03,18.86
Zeeshan Maqsood,Oman,45,45,40,5,1196,1855,101,15,6,2,109,64.47,29.9
Zeeshan Siddiqi,Canada,1,1,1,0,7,21,1,0,0,0,7,33.33,7.0
Ziaur Rahman,Bangladesh,10,10,10,0,83,91,9,3,0,0,22,91.21,8.3
Zubayr Hamza,South Africa,1,1,1,0,56,82,5,1,1,0,56,68.29,56.0
Zuhaib Zubair,United Arab Emirates,3,3,3,0,38,41,3,1,0,0,31,92.68,12.67
Zulfiqar Babar,Pakistan,5,5,2,3,35,40,2,1,0,0,14,87.5,17.5
Zulqarnain Haider,Pakistan,4,4,2,2,48,70,3,0,0,0,19,68.57,24.0
